collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,49,-17.386580792372484,0.7959183673469388,0.0,0.0733835322622498,0.22875339641245676,1.0,0.0,1.2791488993027627,0.0,1.0,0.0,0,0,29.402423659130502,VELOCITY_LIMIT,0,1.2791488993027627
1,0,1,37,-36.61833487364884,0.0,0.0,-0.03098487913026205,0.8006133020702861,1.0,0.0,0.9859266084670909,0.0,1.0,0.0,0,0,29.548125340881647,COLLISION,0,0.9859266084670909
1,0,2,44,-31.815072104967232,0.5,0.0,0.03354513979573047,0.636895203244089,1.0,0.0,1.0027824010792843,0.0,1.0,0.0,0,0,29.463869132390865,COLLISION,0,1.0027824010792843
1,0,3,43,-30.70813803164951,0.5348837209302325,0.0,0.11270801861806604,0.7870612216804775,1.0,0.0,1.259118568444494,0.0,1.0,0.0,0,0,29.47430100142114,COLLISION,0,1.259118568444494
1,0,4,84,-42.976178310238346,0.011904761904761904,0.0,0.07728096383060572,0.8014726046408306,1.0,0.0,2.5264466410508737,0.0,1.0,0.0,0,0,28.971156493153593,COLLISION,0,2.5264466410508737
1,0,5,25,-35.276861079210775,0.0,0.0,-0.20007621544644144,0.801039196967382,1.0,0.0,0.5972282494516619,0.0,1.0,0.0,0,0,29.695028617599856,COLLISION,0,0.5972282494516619
1,0,6,123,-37.050219459551556,0.3170731707317073,0.0,0.11904258874554201,0.6288169771945917,1.0,0.0,3.304287093648697,0.0,1.0,0.0,0,0,28.496881461780443,COLLISION,0,3.304287093648697
1,0,7,28,-35.103555531100625,0.0,0.0,-0.13830187858687376,0.8012176559553702,1.0,0.0,0.549126658156319,0.0,1.0,0.0,0,0,29.659663827635466,COLLISION,0,0.549126658156319
1,0,8,36,-36.570289401901306,0.19444444444444445,0.0,-0.02591038697171608,0.765322684486188,1.0,0.0,0.8968106746398686,0.0,1.0,0.0,0,0,29.55962830599289,COLLISION,0,0.8968106746398686
1,0,9,46,-31.190374402068734,0.45652173913043476,0.0,0.07519179095816185,0.6868549273524149,1.0,0.0,1.0757107732390534,0.0,1.0,0.0,0,0,29.4383735811603,COLLISION,0,1.0757107732390534
0,0,10,84,-32.037776094180174,0.11904761904761904,0.0,-0.05363365232021154,0.799867519857568,1.0,0.0,2.2516353935672284,0.0,1.0,0.0,0,0,28.97376625138147,VELOCITY_LIMIT,0,2.2516353935672284
0,0,11,28,-26.86510377619327,0.0,0.0,-0.16609607100106308,0.8023455521289863,1.0,0.0,0.9338684496468136,0.0,1.0,0.0,0,0,29.655794440740937,VELOCITY_LIMIT,0,0.9338684496468136
1,0,12,50,-39.55967850000693,0.02,0.0,-0.02518931193752423,0.8005075460470391,1.0,0.0,1.2954118704483575,0.0,1.0,0.0,0,0,29.389180881053385,COLLISION,0,1.2954118704483575
1,0,13,25,-35.284150056126286,0.0,0.0,-0.2627552106787009,0.8029047217833369,1.0,0.0,0.5971028889403747,0.0,1.0,0.0,0,0,29.694863837462435,COLLISION,0,0.5971028889403747
0,0,14,90,-35.525988013000756,0.34444444444444444,0.0,-0.08000658480063681,0.5896501065747795,1.0,0.0,2.6212953652222057,0.0,1.0,0.0,0,0,28.900398147235542,VELOCITY_LIMIT,0,2.6212953652222057
1,0,15,100,-33.276463946422794,0.42,0.0,0.05653049631980881,0.6612113213781895,1.0,0.0,2.2358676563228728,0.0,1.0,0.0,0,0,28.779704994077676,COLLISION,0,2.2358676563228728
1,0,16,31,-36.25094493432573,0.0967741935483871,0.0,-0.15793154477201904,0.7921100800466792,1.0,0.0,0.7706097079662861,0.0,1.0,0.0,0,0,29.621110634420656,COLLISION,0,0.7706097079662861
0,0,17,38,-21.592584677866714,0.2631578947368421,0.0,-0.026549780218099634,0.8021813471810096,1.0,0.0,0.5579601117155827,0.0,1.0,0.0,0,0,29.53888761020993,VELOCITY_LIMIT,0,0.5579601117155827
1,0,18,66,-36.93634417107633,0.3333333333333333,0.0,-0.019647315767036197,0.4275145956114342,1.0,0.0,1.6420460169410267,0.0,1.0,0.0,0,0,29.19450255792442,COLLISION,0,1.6420460169410267
1,0,19,29,-35.3885320996106,0.0,0.0,-0.11555300012712671,0.8023405209748281,1.0,0.0,0.6438388322330839,0.0,1.0,0.0,0,0,29.646239259320485,COLLISION,0,0.6438388322330839
1,0,20,92,-38.27179531268535,0.41304347826086957,0.0,-0.021585889031093458,0.38612335658857233,1.0,0.0,2.0323908267058965,0.0,1.0,0.0,0,0,28.878601108688805,COLLISION,0,2.0323908267058965
