collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
1,0,0,21,-14.861941679666872,0.0,0.0,-0.07922328351570825,2.6518968176833613,1.0,0.0,0.5425494897519662,0.0,1.0,0.0,0,0,29.74368505092123,COLLISION,0,0.5425494897519662
1,0,1,39,-12.640070579903272,0.41025641025641024,0.0,-0.13950035471917643,2.555694426218255,1.0,0.0,0.9486993808997868,0.0,1.0,0.0,0,0,29.524452648824045,COLLISION,0,0.9486993808997868
1,0,2,42,-13.351612022547613,0.07142857142857142,0.0,-0.019295936955335175,2.6524482127272764,1.0,0.0,0.9352565997901596,0.0,1.0,0.0,0,0,29.488408416818643,COLLISION,0,0.9352565997901596
1,0,3,27,-15.004848247990141,0.0,0.0,-0.13156943731605,2.6519356706426858,1.0,0.0,0.6015833729338932,0.0,1.0,0.0,0,0,29.670672435995705,COLLISION,0,0.6015833729338932
1,0,4,34,-15.381115356576728,0.17647058823529413,0.0,-0.11280371613133405,2.6269765046821965,1.0,0.0,0.7308178748568833,0.0,1.0,0.0,0,0,29.58596333026207,COLLISION,0,0.7308178748568833
1,0,5,48,-15.215416040039248,0.0,0.0,-0.040168963666207556,2.6509422667127307,1.0,0.0,0.7035056159961776,0.0,1.0,0.0,0,0,29.417670385229016,COLLISION,0,0.7035056159961776
0,0,6,66,1.3458163378983237,0.6818181818181818,0.0,0.050264263943268196,2.448614753176427,1.0,0.0,1.3203045499600872,0.0,1.0,0.0,0,0,29.19638696625953,VELOCITY_LIMIT,0,1.3203045499600872
1,0,7,27,-15.241983134644935,0.0,0.0,-0.16730915366175386,2.650596826185926,1.0,0.0,0.6545724044767177,0.0,1.0,0.0,0,0,29.670459636811355,COLLISION,0,0.6545724044767177
0,0,8,43,-1.5772921579261965,0.2558139534883721,0.0,-0.00770228162888839,2.6314916429704835,1.0,0.0,0.6671456788857613,0.0,1.0,0.0,0,0,29.478366155829246,VELOCITY_LIMIT,0,0.6671456788857613
0,0,9,94,11.296479846975902,0.7021276595744681,0.0,-0.005124600766340604,1.2075253308772214,1.0,0.0,2.6949854276097716,0.0,1.0,0.0,0,0,28.850592634782704,VELOCITY_LIMIT,0,2.6949854276097716
1,0,10,61,-14.503023401015508,0.39344262295081966,0.0,-0.13120677497317723,2.49962589582033,1.0,0.0,1.1713849711054751,0.0,1.0,0.0,0,0,29.25737542655389,COLLISION,0,1.1713849711054751
1,0,11,56,-16.9757140393214,0.17857142857142858,0.0,-0.07341405774503094,2.6177373817377285,1.0,0.0,1.3066462436791002,0.0,1.0,0.0,0,0,29.31778931391641,COLLISION,0,1.3066462436791002
1,0,12,24,-14.971524691463685,0.0,0.0,-0.12185815307229407,2.6530306057217152,1.0,0.0,0.5478884045538818,0.0,1.0,0.0,0,0,29.707706994709177,COLLISION,0,0.5478884045538818
1,0,13,36,-15.895604700414566,0.0,0.0,-0.08373533916276407,2.6520349080635133,1.0,0.0,0.8817556844541046,0.0,1.0,0.0,0,0,29.560735419788724,COLLISION,0,0.8817556844541046
1,0,14,47,-11.253026126350193,0.5319148936170213,0.0,-0.03953890875729418,2.4698353931362496,1.0,0.0,1.040480960766724,0.0,1.0,0.0,0,0,29.427103324076473,COLLISION,0,1.040480960766724
1,0,15,73,-18.55552061584481,0.2602739726027397,0.0,-0.06014855028221567,2.568288567458116,1.0,0.0,1.6868143341395925,0.0,1.0,0.0,0,0,29.10960490484276,COLLISION,0,1.6868143341395925
1,0,16,47,-14.614820313303357,0.19148936170212766,0.0,-0.018909799372659304,2.598096890366595,1.0,0.0,1.0735928284961587,0.0,1.0,0.0,0,0,29.4272206071972,COLLISION,0,1.0735928284961587
1,0,17,35,-15.083683306692297,0.14285714285714285,0.0,-0.06485926618220934,2.629258072690367,1.0,0.0,0.6051124746480807,0.0,1.0,0.0,0,0,29.574820294270527,COLLISION,0,0.6051124746480807
0,0,18,106,-11.832772244727225,0.22641509433962265,0.0,-0.0305934433654642,2.6493726444702093,1.0,0.0,2.9221642460839043,0.0,1.0,0.0,0,0,28.70559630370172,VELOCITY_LIMIT,0,2.9221642460839043
